Country_ID,Year,Total losses
IE,2006,0.0
IE,2007,1.0
IE,2008,0.0
IE,2009,294.0
IE,2010,0.0
IE,2011,306.0
IE,2012,210.0
IE,2013,114.0
IE,2014,847.0
IE,2015,247.0
IE,2016,271.0
IE,2017,295.0
IE,2018,173.0
IE,2019,51.0
IE,2020,210.0
IE,2021,0.0
IE,2022,0.0
IE,2023,260.0
IS,1980,1.0
IS,1981,1.0
IS,1982,1.0
IS,1983,1.0
IS,1984,2.0
IS,1985,2.636363636363636
IS,1986,3.2727272727272725
IS,1987,3.909090909090909
IS,1988,4.545454545454545
IS,1989,5.181818181818182
IS,1990,5.818181818181818
IS,1991,6.454545454545454
IS,1992,7.090909090909091
IS,1993,7.727272727272727
IS,1994,8.363636363636363
IS,1995,9.0
IS,1996,47.0
IS,1997,48.0
IS,1998,49.0
IS,1999,50.0
IS,2000,51.0
IS,2001,43.0
IS,2002,35.0
IS,2003,27.0
IS,2004,19.0
IS,2005,11.0
IS,2006,3.0
IS,2007,51.5
IS,2008,100.0
IS,2009,84.5
IS,2010,69.0
IS,2011,62.0
IS,2012,3.0
IS,2013,2.625
IS,2014,2.25
IS,2015,1.875
IS,2016,1.5
IS,2017,1.125
IS,2018,0.75
IS,2019,0.375
IS,2020,0.0
IS,2021,0.0
IS,2022,0.0
IS,2023,68.0
IT,1980,56742.0
IT,1981,1206.0
IT,1982,7638.0
IT,1983,762.0
IT,1984,513.0
IT,1985,45.0
IT,1986,584.0
IT,1987,8024.0
IT,1988,31.0
IT,1989,13.0
IT,1990,1974.0
IT,1991,546.0
IT,1992,2320.0
IT,1993,974.0
IT,1994,5147.0
IT,1995,617.0
IT,1996,629.0
IT,1997,10024.0
IT,1998,75.0
IT,1999,1087.0
IT,2000,15021.0
IT,2001,474.0
IT,2002,7921.0
IT,2003,7475.0
IT,2004,337.0
IT,2005,66.0
IT,2006,0.0
IT,2007,0.0
IT,2008,722.0
IT,2009,11627.0
IT,2010,782.0
IT,2011,2729.0
IT,2012,17393.0
IT,2013,717.0
IT,2014,1845.0
IT,2015,3116.0
IT,2016,9262.0
IT,2017,13237.0
IT,2018,5822.0
IT,2019,5273.0
IT,2020,2720.0
IT,2021,686.0
IT,2022,17628.0
IT,2023,15741.0
LI,1980,20.0
LI,1981,20.0
LI,1982,20.0
LI,1983,20.0
LI,1984,20.0
LI,1985,20.0
LI,1986,20.0
LI,1987,20.0
LI,1988,20.0
LI,1989,20.0
LI,1990,20.0
LI,1991,20.0
LI,1992,20.0
LI,1993,20.0
LI,1994,20.0
LI,1995,20.0
LI,1996,20.0
LI,1997,20.0
LI,1998,20.0
LI,1999,20.0
LI,2000,16.666666666666668
LI,2001,13.333333333333332
LI,2002,10.0
LI,2003,6.666666666666666
LI,2004,3.333333333333332
LI,2005,0.0
LI,2006,0.0666666666666666
LI,2007,0.1333333333333333
LI,2008,0.2
LI,2009,0.2666666666666666
LI,2010,0.3333333333333333
LI,2011,0.4
LI,2012,0.4666666666666667
LI,2013,0.5333333333333333
LI,2014,0.6
LI,2015,0.6666666666666666
LI,2016,0.7333333333333333
LI,2017,0.8
LI,2018,0.8666666666666667
LI,2019,0.9333333333333332
LI,2020,1.0
LI,2021,0.5
LI,2022,0.0
LI,2023,0.0
LT,1980,43.0
LT,1981,43.0
LT,1982,107.0
LT,1983,171.0
LT,1984,235.0
LT,1985,299.0
LT,1986,363.0
LT,1987,427.0
LT,1988,491.0
LT,1989,555.0
LT,1990,619.0
LT,1991,683.0
LT,1992,747.0
LT,1993,42.0
LT,1994,35.166666666666664
LT,1995,28.333333333333336
LT,1996,21.5
LT,1997,14.666666666666668
LT,1998,7.833333333333336
LT,1999,1.0
LT,2000,0.5
LT,2001,0.0
LT,2002,7.0
LT,2003,23.33333333333333
LT,2004,39.66666666666666
LT,2005,56.0
LT,2006,350.0
LT,2007,262.5
LT,2008,175.0
LT,2009,87.5
LT,2010,0.0
LT,2011,0.0
LT,2012,0.0
LT,2013,0.0
LT,2014,0.0
LT,2015,0.0
LT,2016,0.0
LT,2017,570.0
LT,2018,380.0
LT,2019,190.0
LT,2020,0.0
LT,2021,0.5
LT,2022,1.0
LT,2023,466.0
LU,1980,776.0
LU,1981,776.0
LU,1982,776.0
LU,1983,776.0
LU,1984,776.0
LU,1985,776.0
LU,1986,776.0
LU,1987,776.0
LU,1988,776.0
LU,1989,776.0
LU,1990,776.0
LU,1991,523.6666666666666
LU,1992,271.3333333333333
LU,1993,19.0
LU,1994,18.0
LU,1995,17.0
LU,1996,14.875
LU,1997,12.75
LU,1998,10.625
LU,1999,8.5
LU,2000,6.375
LU,2001,4.25
LU,2002,2.125
LU,2003,0.0
LU,2004,4.714285714285714
LU,2005,9.428571428571429
LU,2006,14.142857142857142
LU,2007,18.857142857142858
LU,2008,23.571428571428573
LU,2009,28.285714285714285
LU,2010,33.0
LU,2011,37.0
LU,2012,41.0
LU,2013,45.0
LU,2014,49.0
LU,2015,53.0
LU,2016,57.0
LU,2017,90.33333333333334
LU,2018,123.66666666666669
LU,2019,157.0
LU,2020,20.0
LU,2021,184.0
LU,2022,184.0
LU,2023,184.0
LV,1980,83.0
LV,1981,83.0
LV,1982,78.44444444444444
