PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,Czechia,2010,Arsenic and compounds (as As),2076.8
2025/03/10,Bulgaria,2010,Total phosphorus,1132560
2025/03/10,Bulgaria,2011,Phenols (as total C),1356.3
2025/03/10,United Kingdom,2015,PCDD + PCDF (dioxins + furans) (as Teq),0.004739999999999999
2025/03/10,Poland,2023,Cyanides (as total CN),663
2025/03/10,Poland,2018,Chromium and compounds (as Cr),3652.5000000000005
2025/03/10,France,2018,Lead and compounds (as Pb),2152.4000000000005
2025/03/10,Poland,2017,Lead and compounds (as Pb),8496.2
2025/03/10,Sweden,2009,Zinc and compounds (as Zn),86985
2025/03/10,Switzerland,2008,Nickel and compounds (as Ni),858
2025/03/10,Czechia,2017,Zinc and compounds (as Zn),34362
2025/03/10,Poland,2016,Total phosphorus,419800
2025/03/10,United Kingdom,2012,Di-(2-ethyl hexyl) phthalate (DEHP),22248.289999999997
2025/03/10,France,2017,Total organic carbon(as total C or COD/3) (TOC),55771400
2025/03/10,Spain,2020,Lead and compounds (as Pb),2477.7999999999997
2025/03/10,Romania,2012,"1,2-dichloroethane (DCE-1,2)",220
2025/03/10,Estonia,2009,Fluorides (as total F),2810
2025/03/10,Belgium,2010,Cyanides (as total CN),9794.699999999999
2025/03/10,Belgium,2007,"Benzo(g,h,i)perylene",5.1899999999999995
