PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,Germany,2023,Sulphur hexafluoride (SF6),56
2025/03/10,Latvia,2008,Trichloromethane,2960
2025/03/10,Switzerland,2021,Cadmium and compounds (as Cd),0.599
2025/03/10,Malta,2013,Methane (CH4),4024000
2025/03/10,Ireland,2022,Chromium and compounds (as Cr),144.622
2025/03/10,Portugal,2014,Cadmium and compounds (as Cd),1041.3000000000002
2025/03/10,Switzerland,2021,Tetrachloroethylene,1110
2025/03/10,Denmark,2015,Sulphur oxides (SOX),3262000
2025/03/10,Luxembourg,2017,Naphthalene,875
2025/03/10,Finland,2008,Polychlorinated biphenyls (PCBs),7.7
2025/03/10,Spain,2018,Polychlorinated biphenyls (PCBs),3.21
2025/03/10,Switzerland,2019,Hydrogen cyanide (HCN),14202.8
2025/03/10,Belgium,2011,Pentachlorophenol (PCP),471
2025/03/10,Switzerland,2019,Polychlorinated biphenyls (PCBs),2.06
2025/03/10,Ireland,2014,Nitrous oxide (N2O),152700
2025/03/10,United Kingdom,2014,Phenols (as total C),92
2025/03/10,Belgium,2015,Chlorofluorocarbons (CFCs),6.8
2025/03/10,Latvia,2012,Sulphur oxides (SOX),581000
2025/03/10,Spain,2008,PCDD + PCDF (dioxins + furans) (as Teq),0.050700999999999996
2025/03/10,Sweden,2011,Copper and compounds (as Cu),1477
2025/03/10,Cyprus,2017,Cadmium and compounds (as Cd),35.599999999999994
2025/03/10,Poland,2014,Methane (CH4),513953000
2025/03/10,United Kingdom,2010,Sulphur oxides (SOX),318885000
2025/03/10,Sweden,2018,Carbon dioxide (CO2),50316000000
2025/03/10,Netherlands,2009,Lead and compounds (as Pb),27415
2025/03/10,Sweden,2022,Cadmium and compounds (as Cd),121.7
2025/03/10,Sweden,2020,Nitrogen oxides (NOX),24347000
2025/03/10,Italy,2023,Dichloromethane (DCM),438317.04000000004
2025/03/10,Romania,2019,Carbon monoxide (CO),108914000
2025/03/10,Denmark,2023,Methane (CH4),11920384.952680001
2025/03/10,Austria,2018,Sulphur oxides (SOX),6336000
2025/03/10,Denmark,2020,Nitrous oxide (N2O),249362.1402
2025/03/10,Norway,2009,Mercury and compounds (as Hg),38
2025/03/10,Germany,2015,Lead and compounds (as Pb),34811
2025/03/10,Netherlands,2009,Vinyl chloride,29960
2025/03/10,Cyprus,2016,Sulphur oxides (SOX),15196000
2025/03/10,Serbia,2017,Sulphur oxides (SOX),360856000
2025/03/10,United Kingdom,2009,Sulphur oxides (SOX),296399000
2025/03/10,Switzerland,2015,Benzene,28030
2025/03/10,Spain,2016,PCDD + PCDF (dioxins + furans) (as Teq),0.030923
2025/03/10,United Kingdom,2008,Methane (CH4),567102000
2025/03/10,Italy,2021,Lead and compounds (as Pb),6129.1389
2025/03/10,Ireland,2018,Methane (CH4),30287399.540000007
2025/03/10,Hungary,2018,Zinc and compounds (as Zn),2187
