Country_ID;Year;Adjusted savings: natural resources depletion (% of GNI);Adjusted savings: net forest depletion (% of GNI);Annual freshwater withdrawals, total (% of internal resources);CO2 emissions (metric tons per capita);Economic and Social Rights Performance Score;Electricity production from coal sources (% of total);Energy imports, net (% of energy use);Fossil fuel energy consumption (% of total);Heat Index 35;Heating Degree Days;Land Surface Temperature;Level of water stress: freshwater withdrawal as a proportion of available freshwater resources;Methane emissions (metric tons of CO2 equivalent per capita);Nitrous oxide emissions (metric tons of CO2 equivalent per capita);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);Renewable energy consumption (% of total final energy consumption);Tree Cover Loss (hectares)
UK;2020;0.08452299;0;5.806206897;4.601142251;2.438455588;16.79499613;47.41131566;71.30324629;0;5562.72;12.9379848;14.35464621;0.751561527;0.412882823;13.63815962;13.5;22842
UK;2021;0.08452299;0;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;12.4360068;16.89458258;0.863101563;0.488674145;13.63815962;19.59;26216
EL;2013;0.070803739;0.012627067;17.11206897;6.610378952;2.36496264;46.23384809;60.11986928;88.00125276;0;3151.17;22.1881622;20.07889945;0.931282587;0.444679614;16.69353;16.61;5907
EL;2014;0.061539125;0.012739741;17.09655172;6.385059031;2.343983441;51.14117156;61.97067022;86.04931718;0;3092.84;21.8124133;20.06069189;0.926334265;0.435426916;15.72743666;16.41;3803
EL;2015;0.03698665;0.012356476;17.08275862;6.285087825;2.364588431;42.65948825;64.17554664;82.57463513;0;3412.95;21.5625869;20.04450738;0.917533809;0.421903466;16.04385798;17.47;3840
EL;2016;0.051847854;0.012529572;17.47586207;6.20348737;2.365714493;16.79499613;47.41131566;71.30324629;0;3223.11;21.9365611;20.50576573;0.890612384;0.422267987;14.46980163;16.41;6034
EL;2017;0.059188867;0.014151074;17.47241379;6.210831583;2.375385867;16.79499613;47.41131566;71.30324629;0;3432.2;22.06298;20.5017196;0.89791313;0.427958075;14.43912017;16.38;8907
EL;2018;0.075920799;0.013199221;17.45172414;6.058130519;2.369789554;16.79499613;47.41131566;71.30324629;0;3002.66;21.9376515;20.47744285;0.872661625;0.410560561;14.51537033;17.86;7122
EL;2019;0.050069074;0.009643469;17.43965517;5.595284353;2.438455588;16.79499613;47.41131566;71.30324629;0;3156.76;22.0630383;20.46328141;0.871279165;0.412170721;14.2538714;18.52;7604
EL;2020;0.027466093;0.009108917;17.45172414;4.767184937;2.438455588;16.79499613;47.41131566;71.30324629;0;3222.04;22.1860033;20.47744285;0.879164204;0.41344179;13.63815962;20.08;5427
EL;2021;0.059458953;0.008614115;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;21.6866702;16.89458258;0.863101563;0.488674145;13.63815962;19.59;49039
HR;2013;0.902941482;0.248773268;1.869761273;3.997143588;2.413612104;17.35857174;47.41131566;71.30324629;0;4691.18;17.3436483;1.567140952;0.857072269;0.406322812;20.04200652;32.82;2998
HR;2014;0.693055599;0.209188421;1.833952255;3.830795144;2.420217472;17.62429294;45.8596927;70.70366234;0;3976.64;18.0927496;1.537127612;0.859669499;0.400179186;19.54244679;33.6;4559
HR;2015;0.568665138;0.20872447;1.812997347;3.94953949;2.429910812;20.55525894;47.41131566;71.30324629;0;4558.06;18.0315494;1.519564251;0.889353422;0.438237592;19.94360466;33.09;2669
HR;2016;0.419380996;0.191009967;1.766312997;4.042977719;2.428961183;16.79499613;47.41131566;71.30324629;0;4625.26;17.2189342;1.480435749;0.899316004;0.386473536;17.72824296;31.83;5373
HR;2017;0.521722482;0.225439836;1.784880637;4.220576836;2.430561581;16.79499613;47.41131566;71.30324629;0;4710.37;17.9363013;1.495998221;0.914224404;0.422465899;18.34290048;29.79;5847
HR;2018;0.598080237;0.198240538;1.785145889;4.020066328;2.428410911;16.79499613;47.41131566;71.30324629;0;4316.01;17.9069472;1.496220543;0.897854914;0.425904657;18.62479372;32.83;8285
HR;2019;0.462903313;0.180018669;1.777188329;4.064519478;2.438455588;16.79499613;47.41131566;71.30324629;0;4238.99;18.2185233;1.489550912;0.904864459;0.433040956;18.46495986;31.6;5978
